Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gains(%),CMP,Current_gains,Issue_Size_Cr,Listing_Gain_%
2021-03-02,Home First,1153.72,52.53,39.0,6.59,518.0,612.15,527.4,1.81,718.1,38.63,1153.72,18.17567567567567
2021-02-02,Indigo Paints,1170.56,96.21,115.76,6.5,1490.0,2607.5,3118.65,109.31,1772.0,18.93,1170.56,75.0
2021-01-29,IRFC,4633.0,0.89,0.52,1.59,26.0,25.0,24.85,-4.42,22.25,-14.42,4633.0,-3.8461538461538463
2021-01-01,Antony Waste,300.53,0.64,0.28,7.22,315.0,430.0,407.25,29.29,292.0,-7.3,300.53,36.507936507936506
2020-12-24,Bectors Food,540.54,176.85,620.86,29.33,288.0,501.0,595.55,106.79,338.5,17.53,540.54,73.95833333333334
2020-12-14,Restaurant Bran,796.5,86.64,354.11,68.15,60.0,115.35,138.4,130.67,127.65,112.75,796.5,92.24999999999999
2020-11-20,Gland,6479.55,6.4,0.51,0.24,1500.0,1710.0,1820.45,21.36,3219.6,114.64,6479.55,14.000000000000002
2020-02-11,Equitas Bank,517.6,3.91,0.22,2.08,33.0,31.0,32.75,-0.76,53.45,61.97,517.6,-6.0606060606060606
2020-12-10,UTI AMC,2159.88,3.34,0.93,2.32,554.0,476.2,476.6,-13.97,825.55,49.02,2159.88,-14.043321299638992
2020-12-10,Mazagon Dock,443.69,89.71,678.88,35.63,145.0,216.25,173.0,19.31,253.0,74.48,443.69,49.137931034482754
2020-05-10,Angel One,600.0,5.74,0.69,4.31,306.0,275.0,275.85,-9.85,1297.45,324.0,600.0,-10.130718954248366
2020-01-10,CAMS,2244.33,73.18,111.85,5.55,1230.0,1535.0,1401.6,13.95,2443.5,98.66,2244.33,24.796747967479675
2020-01-10,Chemcon Special,318.0,113.54,449.14,41.21,340.0,731.0,584.8,72.0,316.35,-6.96,318.0,114.99999999999999
2020-09-21,Route,600.0,89.76,192.81,12.67,350.0,708.0,651.1,86.03,1520.0,334.29,600.0,102.28571428571429
2020-09-17,Happiest Minds ,702.02,77.43,351.46,70.94,166.0,351.0,371.0,123.49,1042.05,527.74,702.02,111.44578313253012
2020-07-23,Rossari,496.25,2.75,4.34,2.51,425.0,670.0,742.35,74.67,1036.0,143.76,496.25,57.647058823529406
2020-03-16,SBI Card,10286.2,57.18,45.23,2.5,755.0,658.0,683.2,-9.51,826.9,9.52,10286.2,-12.847682119205297
2019-12-30,Prince Pipes,500.0,3.54,1.21,1.89,178.0,160.0,166.6,-6.4,670.5,276.69,500.0,-10.112359550561797
2019-12-12,Ujjivan Small,750.0,110.72,473.0,49.09,37.0,58.75,55.9,51.08,17.9,-51.62,750.0,58.78378378378378
2019-04-12,CSB Bank,409.68,38.85,45.49,9.01,195.0,275.0,300.1,53.9,234.1,20.05,409.68,41.02564102564102
2019-10-14,IRCTC,635.04,108.79,354.52,14.94,320.0,644.0,145.72,-54.46,816.3,155.09,635.04,101.25
2019-08-20,Sterling Wilson,3125.0,1.02,0.89,0.3,780.0,700.0,725.35,-7.01,347.3,-55.47,3125.0,-10.256410256410255
2019-04-07,Indiamart Inter,474.12,30.83,62.13,14.07,973.0,1180.0,1302.55,33.87,4836.3,397.05,474.12,21.274409044193217
